Country Name,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Turkey,,,,,,,,,,,,,,,,,,,4.347740173339839,2.91519999504089,,2.20830011367798,1.75490999221802,2.64759993553162,2.0292301177978502,1.73810994625092,1.50957000255585,,,,,,,3.36546993255615,3.42482995986938,2.2511100769043,,,0.0,2.8866400718689,2.52907991409302,2.6543400287628196,2.7489399909973105,2.8766300678253196,3.02020001411438,,2.7506299018859903,,,,,,,,,,,,,,
France,,,,,,,,,,,3.4297399520874,3.1742100715637203,3.35917997360229,3.23003005981445,4.24204015731812,4.428540229797361,4.424709796905519,4.4352102279663095,4.34511995315552,4.2811598777771005,4.3076901435852095,4.73072004318237,4.85202980041504,4.85234022140503,4.86753988265991,4.85157012939453,4.70795011520386,4.62343978881836,4.54472017288208,4.45639991760254,4.51393985748291,4.841300010681151,4.73539018630981,5.42959022521973,5.62643003463745,5.79072999954224,5.756720066070559,,5.68792009353638,,,,,,,,,,,,,,,,,,,5.45160007476807,,,
Australia,,,,,,,,,,,,,,,,,,,6.00891017913818,5.89693021774292,5.65407991409302,,5.4797501564025906,5.37201023101807,,5.40542984008789,5.28063011169434,5.069940090179441,4.918310165405269,4.7491397857666,4.67634010314941,4.7947897911071795,4.692409992218019,5.51652002334595,5.2547402381897,5.14390993118286,5.24097013473511,,,,4.89146995544434,,,,,4.91029977798462,4.75019979476929,4.66089010238647,4.63776016235352,5.08582019805908,5.55005979537964,5.07451009750366,4.86899995803833,5.22974014282227,5.164770126342769,5.31127023696899,5.2767801284789995,5.124249935150151,,,
Canada,,,,,,,,,,,,7.71018981933594,7.61540985107422,7.037499904632571,6.689630031585691,6.4429497718811,6.720990180969241,6.7335300445556605,7.0976700782775906,6.71474981307983,6.48467016220093,6.43061017990112,6.51913976669312,6.88043022155762,6.64404010772705,6.2128701210022,6.044189929962161,6.32446002960205,6.17614984512329,6.09832000732422,5.9919900894165,6.88430023193359,6.770939826965329,7.70425987243652,6.68001985549927,6.324450016021731,,,5.51197004318237,5.54994010925293,5.44199991226196,4.96956014633179,5.010729789733889,,,4.78214979171753,,4.78036022186279,4.63825988769531,4.85264015197754,5.36992979049683,5.27443981170654,,,,,,,,,
Chile,,,,,,,,,,,,,,,3.75120997428894,3.5947299003601096,,,3.0704500675201403,3.48236989974976,4.2199997901916495,4.91429996490479,,,,,,2.8232901096344,,,2.2501599788665803,,,2.38371992111206,2.5118200778961204,2.56469988822937,2.79625010490417,3.0124599933624303,3.3401501178741495,3.72921991348267,3.77583003044128,,4.08121013641357,3.9634599685668905,3.5383899211883505,3.26283001899719,3.0215299129486097,3.2137899398803698,3.79242992401123,4.23064994812012,4.162089824676509,4.04518985748291,,4.52942991256714,4.73094987869263,4.87530994415283,5.3420100212097195,5.4194598197937,,,
Poland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.89144992828369,4.1879301071167,4.1827597618103,,4.33500003814697,6.2671799659729,,4.95043992996216,4.60028982162476,4.99361991882324,5.329750061035161,5.39797019958496,5.33218002319336,5.355740070343019,5.426119804382321,5.205780029296879,4.868370056152339,5.04047012329102,4.9891300201416,5.06842994689941,4.82011985778809,4.81181001663208,4.9401102066039995,4.90918016433716,4.812260150909419,4.639220237731929,4.55956983566284,,,
Czech Republic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.77507996559143,4.18451976776123,4.6788501739502,4.54562997817993,4.270390033721919,,3.5971999168396,3.684809923172,3.65089011192322,3.7485499382019003,3.97255992889404,4.13642978668213,4.01423978805542,3.89037990570068,4.21710014343262,3.86663007736206,3.7445499897003196,4.17127990722656,4.06445980072021,4.27214002609253,4.250860214233399,4.0908899307251,3.9946200847625697,5.7888498306274405,5.58737993240356,3.8540201187133802,,,
Thailand,,,,,,,,,,,,3.0662200450897203,3.02915000915527,2.55425000190735,2.14686989784241,2.3808801174163796,3.01672005653381,3.21512007713318,,2.84528994560242,2.57453989982605,2.8831400871276895,3.2738800048828103,3.4638700485229506,3.43722009658813,,3.4079799652099596,3.11581993103027,2.75342011451721,2.5024299621582,,3.0885999202728303,3.0454099178314196,,3.4052300453186,3.1449799537658705,3.49960994720459,4.577189922332759,4.62569999694824,4.83267021179199,5.25345993041992,4.817870140075679,3.86491990089417,3.7256100177764906,4.03088998794556,3.93859004974365,4.05038022994995,3.60314989089966,3.5085000991821302,3.8619399070739706,3.5084400177002,4.80555009841919,4.53670978546143,4.12402009963989,,,,,,,
Mexico,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.2820100784301802,2.32498002052307,2.54800009727478,3.00501990318298,,3.6470899581909197,3.6925599575042702,,,3.36528992652893,3.53536009788513,3.99243998527527,4.24104022979736,4.45495986938477,5.07257986068726,4.72670984268188,4.84568977355957,4.6999201774597195,4.69050979614258,4.82006978988647,5.18794012069702,5.15922021865845,5.10564994812012,5.1030998229980495,4.69605016708374,5.2606201171875,5.2352399826049805,4.90949010848999,4.52281999588013,,,
Pakistan,,,,,,,,,,,,1.65421998500824,1.56881999969482,1.8304200172424299,1.88065004348755,1.9800800085067702,2.23794007301331,2.14983010292053,2.20418000221252,2.19807004928589,2.13094997406006,1.97245001792908,2.0136699676513703,1.99576997756958,2.06984996795654,2.4354300498962402,2.67812991142273,2.97745990753174,,2.36382007598877,2.51680994033813,2.56676006317139,2.54967999458313,2.38644003868103,2.5893099308013903,2.7953100204467796,2.8105700016021697,3.02230000495911,,2.61149001121521,1.8378200531005902,,,,1.7675900459289597,2.04972004890442,2.3955099582672097,2.63527011871338,2.74622988700867,2.5907800197601296,2.28687000274658,2.22175002098084,2.13628005981445,2.49343991279602,2.46592998504639,2.6500198841095,3.00291991233826,2.8995199203491198,,,
